dataset,regime,OCI,ECI,EDR,EOR,SDF
piezoresistive_memristor,Baseline,0.0,0.7467245052264426,0.0014989982460758941,0.0,177251050.02720842
piezoresistive_memristor,SOM,0.5,0.7520684007241242,0.0014987673960531905,13.784325455517267,211924580.80722773
piezoresistive_memristor,EOM,1.0,0.7356354110671207,0.0015358542205210208,27.269676529659257,192469348.7546661
tactile_sharp,Baseline,0.5,0.8775252455662494,0.0007422406389364938,13375853.997892287,1.9918142119199248e+17
tactile_sharp,SOM,1.0,0.8603268518282512,0.0007187640684845525,28795053.77519146,2.2593044411469827e+17
tactile_sharp,EOM,1.0,0.8434198404874387,0.0007135614735278092,32063513.181467723,3.408461313903698e+17
photonic_memristor,Baseline,0.5,0.9030067118205761,0.00018814545729155507,0.010111841416400697,9369.843495035913
photonic_memristor,SOM,0.5,0.8157247712366805,0.00018879631705748752,0.01016616151115503,181325.89319474698
photonic_memristor,EOM,0.5,0.8162885501934549,0.00018714690713075372,0.012480823644544337,281350.66334166296
